epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,183.151,1.95548,3.19602,5.76114,0.00528,2.62242,0.54075,0.22601,0.18839,0.08339,0.49165,0.19246,0.15254,0.05368,1.93458,3.01863,2.85477,0.01756,0,0.00990385,0.00330128,0.00990385,0.00330128,0.00990385,0.00330128,0.00990385,0.00330128
2,335.033,1.6741,2.35089,2.09691,0.00396,0.82548,0.24454,0.27209,0.16451,0.06883,0.22416,0.22793,0.13683,0.04481,1.93274,2.77739,2.9192,0.0174,0,0.0197068,0.00656893,0.0197068,0.00656893,0.0197068,0.00656893,0.0197068,0.00656893
3,486.062,1.75109,2.38849,2.09795,0.00431,0.81436,0.64877,0.14542,0.11904,0.05145,0.63966,0.1361,0.10303,0.03478,2.2503,3.16668,3.49354,0.02764,0,0.0293118,0.00977058,0.0293118,0.00977058,0.0293118,0.00977058,0.0293118,0.00977058
4,637.078,1.84024,2.46364,2.22589,0.0048,0.83377,0.43846,0.26994,0.26248,0.11214,0.36191,0.26153,0.2163,0.07341,1.98787,2.83166,3.04712,0.01931,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,160.866,1.79309,2.38731,1.764,0.00462,0.81017,0.45739,0.16653,0.16684,0.0715,0.43112,0.16635,0.1588,0.06435,1.96459,2.85529,3.41968,0.0202,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,311.886,1.78729,2.38444,1.74559,0.00461,0.77094,0.48212,0.39089,0.32238,0.14496,0.5026,0.33844,0.29734,0.10515,1.90106,2.58275,2.58466,0.01908,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,462.96,1.7678,2.32818,1.68144,0.00444,0.74844,0.37057,0.27015,0.26164,0.11274,0.3816,0.26726,0.25399,0.0995,2.07621,2.87483,2.50018,0.021,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,613.713,1.76309,2.30184,1.66616,0.00446,0.73512,0.28779,0.21058,0.11587,0.05047,0.2811,0.19056,0.10646,0.04027,1.97975,2.75619,3.23821,0.01955,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,765.161,1.75526,2.30844,1.61903,0.00443,0.71759,0.39731,0.4301,0.33368,0.14323,0.34719,0.40636,0.3041,0.11077,1.89912,2.58676,2.51979,0.01903,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,915.876,1.71447,2.24184,1.57123,0.00433,0.70062,0.38,0.37752,0.29173,0.13613,0.3618,0.37085,0.26889,0.09878,1.8564,2.67277,2.39432,0.01731,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1066.98,1.7212,2.25037,1.56455,0.00422,0.68899,0.50631,0.39128,0.38059,0.17655,0.46959,0.36938,0.34046,0.12373,1.83875,2.5072,2.21488,0.01715,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1217.98,1.69411,2.20273,1.51831,0.00428,0.66314,0.47764,0.38203,0.39355,0.18581,0.47665,0.36676,0.35711,0.13768,1.87134,2.65584,2.42379,0.01755,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1368.81,1.69599,2.20933,1.51962,0.00424,0.65285,0.51419,0.37579,0.36311,0.17933,0.49988,0.36206,0.33725,0.12672,1.80894,2.54393,2.40563,0.01751,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1519.64,1.67592,2.1947,1.47843,0.00412,0.65498,0.4825,0.44907,0.42581,0.19766,0.5205,0.4114,0.4021,0.15055,1.79675,2.48518,2.11804,0.01616,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1670.65,1.66442,2.15865,1.46861,0.00414,0.63944,0.36927,0.2091,0.19665,0.08911,0.34666,0.17829,0.16285,0.06054,1.91174,2.71174,2.99107,0.01835,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1821.22,1.65414,2.14058,1.4363,0.00405,0.62611,0.47749,0.49883,0.46179,0.21926,0.4644,0.45549,0.41028,0.15152,1.79546,2.4562,2.05974,0.01571,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1972.2,1.65194,2.1468,1.41743,0.00401,0.61263,0.51869,0.45966,0.46538,0.21764,0.47749,0.42962,0.41916,0.15643,1.77219,2.44101,1.96155,0.01654,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2122.91,1.62119,2.11482,1.39567,0.00402,0.57961,0.51794,0.55973,0.54705,0.25128,0.47322,0.52645,0.47815,0.18084,1.75959,2.40964,1.77415,0.01535,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2273.66,1.63213,2.11717,1.39102,0.00394,0.59934,0.48341,0.48116,0.42798,0.19674,0.43032,0.40178,0.34804,0.12317,1.73179,2.5007,1.99496,0.01518,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2424.84,1.63104,2.11376,1.39681,0.00392,0.59522,0.48913,0.46372,0.42637,0.19501,0.45372,0.43933,0.38552,0.14821,1.79716,2.48712,2.17202,0.01555,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2575.65,1.61705,2.08137,1.37639,0.00393,0.56496,0.52272,0.47407,0.49281,0.24019,0.50272,0.43049,0.44522,0.1662,1.71494,2.43796,1.89881,0.01468,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2727.02,1.61553,2.10402,1.36182,0.0039,0.58569,0.54832,0.49576,0.48872,0.22511,0.51591,0.42406,0.42115,0.15527,1.71664,2.45736,1.90924,0.01493,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2877.61,1.60737,2.07027,1.33538,0.00379,0.56388,0.51332,0.48417,0.47912,0.22448,0.47835,0.43457,0.4215,0.14428,1.73326,2.44511,1.96897,0.01478,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3028.37,1.59978,2.07271,1.34879,0.0038,0.56953,0.55289,0.49864,0.48792,0.23424,0.52877,0.47157,0.44751,0.17008,1.70778,2.40553,1.85576,0.01474,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3179.14,1.59035,2.05149,1.31087,0.00381,0.54603,0.50253,0.4195,0.44339,0.21497,0.45275,0.40546,0.39319,0.16622,1.74516,2.40065,2.05831,0.01574,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3330.18,1.59285,2.05258,1.33355,0.0038,0.55195,0.57617,0.43968,0.45591,0.21226,0.49465,0.40888,0.37575,0.1522,1.69357,2.37539,1.9973,0.0144,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3481.1,1.57879,2.03773,1.30302,0.00372,0.5391,0.57533,0.55738,0.58141,0.27784,0.53763,0.51871,0.51165,0.19545,1.66208,2.34642,1.72606,0.01437,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3632.06,1.57242,2.02317,1.29793,0.00383,0.53903,0.58173,0.52394,0.54844,0.27064,0.52357,0.51158,0.47643,0.1825,1.68988,2.33164,1.751,0.01487,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3783.31,1.58054,2.02669,1.27685,0.0037,0.53486,0.52073,0.4625,0.48734,0.24043,0.50806,0.45714,0.46414,0.17134,1.67536,2.32404,1.8579,0.01455,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3933.87,1.56449,2.01006,1.28522,0.00367,0.52258,0.50582,0.47196,0.46785,0.22182,0.47698,0.42711,0.41566,0.15885,1.73917,2.436,1.92139,0.01454,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4084.5,1.55385,2.00074,1.24836,0.00369,0.5104,0.53074,0.45027,0.4471,0.21047,0.46946,0.3987,0.37632,0.14505,1.69628,2.40919,1.9361,0.01466,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4234.97,1.5538,2.00118,1.25969,0.00368,0.51862,0.57512,0.50301,0.52272,0.26372,0.55986,0.47429,0.49447,0.2037,1.66134,2.26777,1.74096,0.01453,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4385.6,1.54615,1.98769,1.23958,0.0036,0.50286,0.59855,0.54318,0.58339,0.27677,0.54699,0.5026,0.51379,0.19596,1.64453,2.30206,1.68185,0.0141,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4536.39,1.5524,2.00117,1.22995,0.00358,0.49808,0.54201,0.52738,0.52818,0.25478,0.50729,0.46635,0.46367,0.1702,1.69433,2.35351,1.80517,0.01415,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4686.66,1.53592,1.96544,1.21592,0.00363,0.48739,0.59634,0.53852,0.56615,0.27317,0.54611,0.49362,0.4795,0.18614,1.69385,2.38795,1.68806,0.01451,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4837.19,1.52437,1.94846,1.21414,0.00355,0.50229,0.57548,0.50782,0.5443,0.26784,0.53373,0.45812,0.48831,0.18791,1.66443,2.30194,1.76611,0.01399,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4987.56,1.53413,1.95563,1.2019,0.00351,0.48232,0.60142,0.56996,0.56212,0.28412,0.52946,0.50842,0.4838,0.19196,1.66094,2.31957,1.68137,0.01379,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5138.31,1.52044,1.94538,1.18707,0.00346,0.49294,0.65019,0.55492,0.60635,0.30152,0.59005,0.51461,0.55139,0.21037,1.64931,2.30729,1.6602,0.01332,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5288.84,1.51006,1.92459,1.17489,0.00349,0.46572,0.62314,0.54545,0.57663,0.29092,0.60752,0.47979,0.50907,0.20167,1.62222,2.2892,1.67582,0.01323,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5439.6,1.51991,1.92328,1.16182,0.00347,0.46895,0.63493,0.57319,0.62203,0.31832,0.60545,0.53329,0.56492,0.21986,1.63513,2.24634,1.58209,0.0135,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5590.27,1.49975,1.9023,1.17139,0.00346,0.46356,0.62288,0.57615,0.5738,0.30125,0.58671,0.52612,0.53066,0.21371,1.60176,2.23186,1.60055,0.01322,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5740.82,1.50349,1.90799,1.15435,0.00343,0.45513,0.58846,0.55537,0.5558,0.271,0.54645,0.50432,0.48052,0.18496,1.66847,2.35515,1.69897,0.01387,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5891.4,1.48639,1.89576,1.13152,0.00342,0.4502,0.61433,0.55896,0.5714,0.291,0.56012,0.50441,0.50661,0.19832,1.63927,2.26753,1.62827,0.01344,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6042.01,1.4894,1.89275,1.12858,0.00341,0.4433,0.6727,0.55828,0.61573,0.3125,0.58848,0.49515,0.5311,0.21497,1.61563,2.29187,1.59648,0.01308,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6192.18,1.49219,1.89003,1.12492,0.00337,0.45478,0.65108,0.55401,0.60128,0.30983,0.58591,0.56766,0.55931,0.22067,1.62518,2.26132,1.54849,0.0133,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6342.3,1.49482,1.90864,1.11492,0.00341,0.43586,0.61855,0.46118,0.52058,0.26134,0.53087,0.46634,0.45203,0.17937,1.65555,2.33662,1.89405,0.01376,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6492.7,1.48425,1.87128,1.11843,0.00334,0.44524,0.64078,0.58891,0.62166,0.31716,0.58503,0.54706,0.5563,0.21739,1.59692,2.24135,1.56167,0.01303,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6643.27,1.49421,1.87924,1.11153,0.00335,0.45361,0.62282,0.56763,0.6098,0.308,0.61142,0.50728,0.54085,0.21282,1.64527,2.29202,1.58092,0.01343,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6793.69,1.47336,1.85338,1.08824,0.00328,0.43801,0.64271,0.56849,0.59684,0.29569,0.59581,0.51161,0.51752,0.19444,1.64433,2.33233,1.61507,0.01299,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6944.12,1.45286,1.85999,1.07274,0.00327,0.4265,0.63442,0.51513,0.57912,0.27833,0.62102,0.43848,0.49327,0.18729,1.70458,2.35062,1.6996,0.0137,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7094.68,1.46326,1.83407,1.07426,0.0033,0.42015,0.62886,0.54686,0.60248,0.29378,0.63933,0.49754,0.54784,0.20901,1.63405,2.31099,1.63888,0.01313,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7245.42,1.4608,1.84348,1.06117,0.00323,0.41431,0.59643,0.58722,0.59835,0.30027,0.56818,0.49942,0.51629,0.20271,1.63999,2.29102,1.62639,0.01316,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7396.18,1.45907,1.84125,1.07921,0.00327,0.43434,0.60795,0.56446,0.585,0.2877,0.56275,0.50754,0.51876,0.18405,1.68685,2.34933,1.63901,0.01331,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7546.77,1.44935,1.81828,1.04447,0.00325,0.41106,0.63621,0.54767,0.61006,0.3087,0.57056,0.49247,0.52377,0.204,1.61854,2.26869,1.54605,0.01297,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7697.92,1.43398,1.80008,1.03282,0.00315,0.40781,0.60514,0.59581,0.62175,0.31331,0.58386,0.54871,0.57963,0.21912,1.65191,2.33655,1.55459,0.01295,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7848.62,1.43882,1.80403,1.03754,0.00314,0.41059,0.62936,0.57043,0.6247,0.30885,0.60758,0.52523,0.54967,0.21348,1.61177,2.28495,1.55833,0.01298,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7999.42,1.4403,1.80414,1.02976,0.00316,0.40145,0.64943,0.54654,0.61287,0.30487,0.63134,0.4631,0.53443,0.2105,1.62258,2.27586,1.57635,0.01289,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8150.91,1.43329,1.79644,1.01146,0.0032,0.39883,0.61623,0.58655,0.62773,0.31521,0.61957,0.48796,0.5509,0.21522,1.62572,2.28747,1.54214,0.01293,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8301.76,1.42977,1.79194,1.00858,0.00315,0.4004,0.64933,0.55625,0.60995,0.30296,0.5695,0.52905,0.53576,0.2078,1.639,2.25814,1.51214,0.01299,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8455.01,1.42239,1.77162,0.98951,0.0031,0.37863,0.61846,0.57592,0.60762,0.29566,0.5409,0.53519,0.5393,0.20764,1.64027,2.30727,1.56869,0.01281,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
